唯一id,等级,职业id,attribute
16,16,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":375#"maximumHealth":3250#"shen":240#"xin":230#"li":305#"expPoint":1000}
17,17,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":390#"maximumHealth":3370#"shen":250#"xin":240#"li":320#"expPoint":1000}
18,18,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":405#"maximumHealth":3490#"shen":260#"xin":250#"li":335#"expPoint":1000}
19,19,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":420#"maximumHealth":3610#"shen":270#"xin":260#"li":350#"expPoint":1000}
20,20,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":435#"maximumHealth":3730#"shen":280#"xin":270#"li":365#"expPoint":1000}
21,21,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":450#"maximumHealth":3850#"shen":290#"xin":280#"li":380#"expPoint":1000}
22,22,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":465#"maximumHealth":3970#"shen":300#"xin":290#"li":395#"expPoint":1000}
23,23,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":480#"maximumHealth":4090#"shen":310#"xin":300#"li":410#"expPoint":1000}
24,24,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":495#"maximumHealth":4210#"shen":320#"xin":310#"li":425#"expPoint":1000}
25,25,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":510#"maximumHealth":4330#"shen":330#"xin":320#"li":440#"expPoint":1000}
26,26,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":525#"maximumHealth":4450#"shen":340#"xin":330#"li":455#"expPoint":1000}
27,27,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":540#"maximumHealth":4570#"shen":350#"xin":340#"li":470#"expPoint":1000}
28,28,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":555#"maximumHealth":4690#"shen":360#"xin":350#"li":485#"expPoint":1000}
29,29,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":570#"maximumHealth":4810#"shen":370#"xin":360#"li":500#"expPoint":1000}
30,30,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":585#"maximumHealth":4930#"shen":380#"xin":370#"li":515#"expPoint":1000}
31,31,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":600#"maximumHealth":5050#"shen":390#"xin":380#"li":530#"expPoint":1000}
32,32,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":615#"maximumHealth":5170#"shen":400#"xin":390#"li":545#"expPoint":1000}
33,33,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":630#"maximumHealth":5290#"shen":410#"xin":400#"li":560#"expPoint":1000}
34,34,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":645#"maximumHealth":5410#"shen":420#"xin":410#"li":575#"expPoint":1000}
35,35,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":660#"maximumHealth":5530#"shen":430#"xin":420#"li":590#"expPoint":1000}
36,36,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":675#"maximumHealth":5650#"shen":440#"xin":430#"li":605#"expPoint":1000}
37,37,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":690#"maximumHealth":5770#"shen":450#"xin":440#"li":620#"expPoint":1000}
38,38,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":705#"maximumHealth":5890#"shen":460#"xin":450#"li":635#"expPoint":1000}
39,39,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":720#"maximumHealth":6010#"shen":470#"xin":460#"li":650#"expPoint":1000}
40,40,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":735#"maximumHealth":6130#"shen":480#"xin":470#"li":665#"expPoint":1000}
41,41,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":750#"maximumHealth":6250#"shen":490#"xin":480#"li":680#"expPoint":1000}
42,42,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":765#"maximumHealth":6370#"shen":500#"xin":490#"li":695#"expPoint":1000}
43,43,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":780#"maximumHealth":6490#"shen":510#"xin":500#"li":710#"expPoint":1000}
44,44,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":795#"maximumHealth":6610#"shen":520#"xin":510#"li":725#"expPoint":1000}
45,45,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":810#"maximumHealth":6730#"shen":530#"xin":520#"li":740#"expPoint":1000}
46,46,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":825#"maximumHealth":6850#"shen":540#"xin":530#"li":755#"expPoint":1000}
47,47,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":840#"maximumHealth":6970#"shen":550#"xin":540#"li":770#"expPoint":1000}
48,48,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":855#"maximumHealth":7090#"shen":560#"xin":550#"li":785#"expPoint":1000}
49,49,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":870#"maximumHealth":7210#"shen":570#"xin":560#"li":800#"expPoint":1000}
50,50,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":885#"maximumHealth":7330#"shen":580#"xin":570#"li":815#"expPoint":1000}
51,51,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":900#"maximumHealth":7450#"shen":590#"xin":580#"li":830#"expPoint":1000}
52,52,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":915#"maximumHealth":7570#"shen":600#"xin":590#"li":845#"expPoint":1000}
53,53,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":930#"maximumHealth":7690#"shen":610#"xin":600#"li":860#"expPoint":1000}
54,54,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":945#"maximumHealth":7810#"shen":620#"xin":610#"li":875#"expPoint":1000}
55,55,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":960#"maximumHealth":7930#"shen":630#"xin":620#"li":890#"expPoint":1000}
56,56,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":975#"maximumHealth":8050#"shen":640#"xin":630#"li":905#"expPoint":1000}
57,57,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":990#"maximumHealth":8170#"shen":650#"xin":640#"li":920#"expPoint":1000}
58,58,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1005#"maximumHealth":8290#"shen":660#"xin":650#"li":935#"expPoint":1000}
59,59,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1020#"maximumHealth":8410#"shen":670#"xin":660#"li":950#"expPoint":1000}
60,60,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1035#"maximumHealth":8530#"shen":680#"xin":670#"li":965#"expPoint":1000}
61,61,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1050#"maximumHealth":8650#"shen":690#"xin":680#"li":980#"expPoint":1000}
62,62,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1065#"maximumHealth":8770#"shen":700#"xin":690#"li":995#"expPoint":1000}
63,63,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1080#"maximumHealth":8890#"shen":710#"xin":700#"li":1010#"expPoint":1000}
64,64,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1095#"maximumHealth":9010#"shen":720#"xin":710#"li":1025#"expPoint":1000}
65,65,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1110#"maximumHealth":9130#"shen":730#"xin":720#"li":1040#"expPoint":1000}
66,66,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1125#"maximumHealth":9250#"shen":740#"xin":730#"li":1055#"expPoint":1000}
67,67,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1140#"maximumHealth":9370#"shen":750#"xin":740#"li":1070#"expPoint":1000}
68,68,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1155#"maximumHealth":9490#"shen":760#"xin":750#"li":1085#"expPoint":1000}
69,69,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1170#"maximumHealth":9610#"shen":770#"xin":760#"li":1100#"expPoint":1000}
70,70,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1185#"maximumHealth":9730#"shen":780#"xin":770#"li":1115#"expPoint":1000}
71,71,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1200#"maximumHealth":9850#"shen":790#"xin":780#"li":1130#"expPoint":1000}
72,72,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1215#"maximumHealth":9970#"shen":800#"xin":790#"li":1145#"expPoint":1000}
73,73,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1230#"maximumHealth":10090#"shen":810#"xin":800#"li":1160#"expPoint":1000}
74,74,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1245#"maximumHealth":10210#"shen":820#"xin":810#"li":1175#"expPoint":1000}
75,75,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1260#"maximumHealth":10330#"shen":830#"xin":820#"li":1190#"expPoint":1000}
76,76,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1275#"maximumHealth":10450#"shen":840#"xin":830#"li":1205#"expPoint":1000}
77,77,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1290#"maximumHealth":10570#"shen":850#"xin":840#"li":1220#"expPoint":1000}
78,78,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1305#"maximumHealth":10690#"shen":860#"xin":850#"li":1235#"expPoint":1000}
79,79,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1320#"maximumHealth":10810#"shen":870#"xin":860#"li":1250#"expPoint":1000}
80,80,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1335#"maximumHealth":10930#"shen":880#"xin":870#"li":1265#"expPoint":1000}
81,81,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1350#"maximumHealth":11050#"shen":890#"xin":880#"li":1280#"expPoint":1000}
82,82,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1365#"maximumHealth":11170#"shen":900#"xin":890#"li":1295#"expPoint":1000}
83,83,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1380#"maximumHealth":11290#"shen":910#"xin":900#"li":1310#"expPoint":1000}
84,84,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1395#"maximumHealth":11410#"shen":920#"xin":910#"li":1325#"expPoint":1000}
85,85,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1410#"maximumHealth":11530#"shen":930#"xin":920#"li":1340#"expPoint":1000}
86,86,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1425#"maximumHealth":11650#"shen":940#"xin":930#"li":1355#"expPoint":1000}
87,87,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1440#"maximumHealth":11770#"shen":950#"xin":940#"li":1370#"expPoint":1000}
88,88,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1455#"maximumHealth":11890#"shen":960#"xin":950#"li":1385#"expPoint":1000}
89,89,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1470#"maximumHealth":12010#"shen":970#"xin":960#"li":1400#"expPoint":1000}
90,90,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1485#"maximumHealth":12130#"shen":980#"xin":970#"li":1415#"expPoint":1000}
91,91,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1500#"maximumHealth":12250#"shen":990#"xin":980#"li":1430#"expPoint":1000}
92,92,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1515#"maximumHealth":12370#"shen":1000#"xin":990#"li":1445#"expPoint":1000}
93,93,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1530#"maximumHealth":12490#"shen":1010#"xin":1000#"li":1460#"expPoint":1000}
94,94,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1545#"maximumHealth":12610#"shen":1020#"xin":1010#"li":1475#"expPoint":1000}
95,95,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1560#"maximumHealth":12730#"shen":1030#"xin":1020#"li":1490#"expPoint":1000}
96,96,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1575#"maximumHealth":12850#"shen":1040#"xin":1030#"li":1505#"expPoint":1000}
97,97,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1590#"maximumHealth":12970#"shen":1050#"xin":1040#"li":1520#"expPoint":1000}
98,98,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1605#"maximumHealth":13090#"shen":1060#"xin":1050#"li":1535#"expPoint":1000}
99,99,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1620#"maximumHealth":13210#"shen":1070#"xin":1060#"li":1550#"expPoint":1000}
100,100,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1635#"maximumHealth":13330#"shen":1080#"xin":1070#"li":1565#"expPoint":1000}
101,101,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1650#"maximumHealth":13450#"shen":1090#"xin":1080#"li":1580#"expPoint":1000}
102,102,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1665#"maximumHealth":13570#"shen":1100#"xin":1090#"li":1595#"expPoint":1000}
103,103,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1680#"maximumHealth":13690#"shen":1110#"xin":1100#"li":1610#"expPoint":1000}
104,104,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1695#"maximumHealth":13810#"shen":1120#"xin":1110#"li":1625#"expPoint":1000}
105,105,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1710#"maximumHealth":13930#"shen":1130#"xin":1120#"li":1640#"expPoint":1000}
106,106,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1725#"maximumHealth":14050#"shen":1140#"xin":1130#"li":1655#"expPoint":1000}
107,107,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1740#"maximumHealth":14170#"shen":1150#"xin":1140#"li":1670#"expPoint":1000}
108,108,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1755#"maximumHealth":14290#"shen":1160#"xin":1150#"li":1685#"expPoint":1000}
109,109,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1770#"maximumHealth":14410#"shen":1170#"xin":1160#"li":1700#"expPoint":1000}
110,110,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1785#"maximumHealth":14530#"shen":1180#"xin":1170#"li":1715#"expPoint":1000}
111,111,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1800#"maximumHealth":14650#"shen":1190#"xin":1180#"li":1730#"expPoint":1000}
112,112,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1815#"maximumHealth":14770#"shen":1200#"xin":1190#"li":1745#"expPoint":1000}
113,113,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1830#"maximumHealth":14890#"shen":1210#"xin":1200#"li":1760#"expPoint":1000}
114,114,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1845#"maximumHealth":15010#"shen":1220#"xin":1210#"li":1775#"expPoint":1000}
115,115,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1860#"maximumHealth":15130#"shen":1230#"xin":1220#"li":1790#"expPoint":1000}
116,116,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1875#"maximumHealth":15250#"shen":1240#"xin":1230#"li":1805#"expPoint":1000}
117,117,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1890#"maximumHealth":15370#"shen":1250#"xin":1240#"li":1820#"expPoint":1000}
118,118,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1905#"maximumHealth":15490#"shen":1260#"xin":1250#"li":1835#"expPoint":1000}
119,119,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1920#"maximumHealth":15610#"shen":1270#"xin":1260#"li":1850#"expPoint":1000}
120,120,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1935#"maximumHealth":15730#"shen":1280#"xin":1270#"li":1865#"expPoint":1000}
121,121,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1950#"maximumHealth":15850#"shen":1290#"xin":1280#"li":1880#"expPoint":1000}
122,122,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1965#"maximumHealth":15970#"shen":1300#"xin":1290#"li":1895#"expPoint":1000}
123,123,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1980#"maximumHealth":16090#"shen":1310#"xin":1300#"li":1910#"expPoint":1000}
124,124,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":1995#"maximumHealth":16210#"shen":1320#"xin":1310#"li":1925#"expPoint":1000}
125,125,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2010#"maximumHealth":16330#"shen":1330#"xin":1320#"li":1940#"expPoint":1000}
126,126,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2025#"maximumHealth":16450#"shen":1340#"xin":1330#"li":1955#"expPoint":1000}
127,127,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2040#"maximumHealth":16570#"shen":1350#"xin":1340#"li":1970#"expPoint":1000}
128,128,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2055#"maximumHealth":16690#"shen":1360#"xin":1350#"li":1985#"expPoint":1000}
129,129,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2070#"maximumHealth":16810#"shen":1370#"xin":1360#"li":2000#"expPoint":1000}
130,130,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2085#"maximumHealth":16930#"shen":1380#"xin":1370#"li":2015#"expPoint":1000}
131,131,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2100#"maximumHealth":17050#"shen":1390#"xin":1380#"li":2030#"expPoint":1000}
132,132,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2115#"maximumHealth":17170#"shen":1400#"xin":1390#"li":2045#"expPoint":1000}
133,133,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2130#"maximumHealth":17290#"shen":1410#"xin":1400#"li":2060#"expPoint":1000}
134,134,101#201#311#321#411#421#511#521#611#621#711#721#811#821#911#921,{"maximumMana":1000#"moveSpeed":4000#"ti":2145#"maximumHealth":17410#"shen":1420#"xin":1410#"li":2075#"expPoint":1000}
