唯一id,id,名称
earthResistance,103,地抗
windResistance,104,风抗
poisonResistance,105,毒抗
lightningResistance,106,雷抗
shieldRecoveryEverywhere,110,
abilityUsageReduction,111,减少AG消耗
manaUsageReduction,112,
itemDurationIncrease,113,
petDurationIncrease,114,
fullyRecoverManaAfterHitChance,115,
fullyRecoverHealthAfterHitChance,116,
fight,122,
defenseIgnoreChanceResistance,124,抵抗无视防御几率
shieldBypassChanceResistance,125,抵抗SD无视几率
doubleDamageChanceResistance,126,抵抗双倍伤害几率
excellentDamageChanceResistance,127,抵抗卓越一击几率
criticalDamageBonusResistance,128,会心抵抗：
attackDistanceIncrease,129,攻击距离增加 
reducedFixedHealthPerSuccessfulAttack,140,每次成功造成一次伤害，自身血量减少 
reinforcementSuccessRate,0,
extraDamage,142,
damageIncreaseRate,147,伤害增加：
damageBonus,155,
damageAbsorption,156,
physBaseDmgRange,0,
WizBaseDmgRange,0,
healthRecoveryAbsolute,22,生命恢复：
manaRecoveryAbsolute,23,内力恢复：
receivedDamageReduceRate,143,伤害减少：
zhuoyueAttribute,0,
baseDefenseByLevel,165,(根据等级)增加防御力 等级 * 
client_baseDefenseByLevel,0,(根据等级)增加防御力 等级 * 
comboRecovery,171,连击能量回复速度
shieldRecoveryMultiplier,20,SD回复速度
monsterDropRate,154,打怪爆率：
stoneDropRate,178,宝石爆率
exEquipDropRate,179,卓越装备爆率
doubleDropRate,180,双倍掉落率
heal5s,181,每5秒回复 生命值 
baseHealthByLevel,182,(根据等级)增加生命值 等级 * 
selfAttribute_mul,0,本装备基础属性
potionRate,183,药水恢复效果
comboAdditionalRatio,185,
toWarriorHarmIncrease,186,对战士伤害增加 
toMagicianHarmIncrease,187,对法师伤害增加 
toArcherHarmIncrease,188,对弓箭手伤害增加 
fromWarriorHarmDecrease,189,受战士伤害减少 
fromMagicianHarmDecrease,190,受法师伤害减少 
fromArcherHarmDecrease,191,受弓箭手伤害减少 
toPlayerHarmIncrease,192,对全职业伤害增加 
fromPlayerHarmDecrease,193,受全职业伤害减少 
damageReflectionDecrease,194,减少反伤：
toSpellswordHarmIncrease,205,对魔剑士伤害增加 
fromSpellswordHarmDecrease,206,受魔剑士伤害减少 
effectLevel,0,神器效果 
fireAttack,0,火元素攻击
fireDef,0,火元素防御
fireElement,0,火元素之力
waterAttack,0,水元素攻击
waterDef,0,水元素防御
waterElement,0,水元素之力
sandAttack,0,土元素攻击
sandDef,0,土元素防御
sandElement,0,土元素之力
windAttack,0,风元素攻击
windDef,0,风元素防御
windElement,0,风元素之力
darkAttack,0,暗元素攻击
darkDef,0,暗元素防御
darkElement,0,暗元素之力
elementAttack,0,元素攻击增幅
elementDef,0,元素防御增幅
elementPierce,0,元素穿透
elementResist,0,元素抵抗
criticalDamageHarmImprove,0,幸运一击伤害提高 
excellentDamagHarmImprove,0,卓越一击伤害提高 
allElementAttack,0,全元素攻击
allElementDef,0,全元素防御
resistDefense,214,忽视防御：
holyChance,215,神圣概率：
holyDamage,216,神圣伤害：
kungFuDefense,217,武功防御：
kungFuDefense_mul,0,武功防御：
kungFuPvm,218,武伤(对怪)：
kungFuRate1,219,武功攻击：
kungFuRate2,220,武功打击值：
damageIncreaseFix,148,追加伤害：
angerTime,222,愤怒时间提升
mpReduceRate,223,内力消耗降低
charm,226,魅力值：+
angerRate,227,怒气加成
sellBlueDiamondsUpRatio,151,热血币加成：
angerFixed,230,怒气增加
doubleHitRate,221,连击概率
doubleHitRate2,231,连击概率
castSkillDistance,225,射程增加
moveSpeed,9,
moveSpeed_mul,0,
suckRate,233,
cureRate,224,
qiGongLevelUp,234,全部气功等级：+
flyQiGongLevelUp,295,飞升气功等级：+
autoPickOpen,153,自动拾取开启
staticMoveSpeed,141,坐骑移动速度
deadlyProbability,235,致命几率：
deadlyRate,236,致命加成：
deadlyFixedValue,237,致命加深：
kungFuDodge,238,武功闪避：
resistDeadlyRate,239,致命减免：
luckRate,240,会心加成：
resistLuckRate,241,会心减免：
resistDeadlyProbability,242,致命抵抗：
resistLuckProbability,243,会心抵抗：
resistKungFuDefense,244,忽视武防：
demon,245,伏魔值：
militaryLevel,246,武勋称号等级
militaryHurt,247,威压增伤
militaryHurtRate,248,威压增幅
suckFixedValue,249,打怪吸血
pveAddHurtRate,250,打怪增伤：
pveMinusHurtRate,251,受怪免伤：
pvpAddFixed,252,对人战斗：
pvpReduceFixed,253,对人抵抗：
career1HurtRate,254,对刀增伤：
career4HurtRate,255,对剑增伤：
career2HurtRate,256,对枪增伤：
career3HurtRate,257,对弓增伤：
career5HurtRate,258,对医增伤：
career6HurtRate,296,对刺增伤：
career1HurtReduceRate,259,对刀减伤：
career4HurtReduceRate,260,对剑减伤：
career2HurtReduceRate,261,对枪减伤：
career3HurtReduceRate,262,对弓减伤：
career5HurtReduceRate,263,对医减伤：
career6HurtReduceRate,297,对刺减伤：
bossFixedValue,264,BOSS伤害：
suckRateResist,265,吸血抵抗
petHurtRate,266,宠物伤害加成
petHurReduceRate,267,宠物受伤减免
pvpSuckRate,268,PK吸血
receivedDamageReduceRateFix,144,格挡伤害：
kungFuHit,269,武功命中：
kungFuSkillAddFixedValue,270,武功威力：
baseRateWeapon,271,武器基础属性加成：
baseRateCloth,272,衣服基础属性加成：
baseRateInsideCloth,273,内甲基础属性加成：
baseRateArmLeft,274,左手基础属性加成：
baseRateArmRight,275,右手基础属性加成：
dodgeChance,276,闪避概率：
baseRateShoes,277,鞋子基础属性加成：
damageReflectionFixedValue,278,荆棘反伤：
damageReflectionReduceFixedValue,279,荆棘抵抗：
angerAddTimeOnTeam,280,
godAttack,282,内攻：
godDefense,283,内防：
teamMapMonsterHurtRate,284,密路增伤：
expPoint,285,经验点：
kungFuDefenseToMon,286,对怪武防：
duanTiExpRate,287,锻体经验加成：
godWeaponMapMonsterHurtRate,288,神兵伤害：
godWeaponMapMonsterFixedValue,289,神兵增伤：
damageReflectionReduceRate,290,荆棘减免：
monsterHpRecoverFixedValue,291,怪物5秒回血：
monsterHpRecoverReduceRate,292,降低回血比例：
dodgeChanceReduce,293,忽视闪避：
godWeaponMapHurtReduceFixedValue,294,神兵减伤：
brokenBoundary,298,破界值：
generalSoulPlayer,299,武魂值：
generalSoulMon,300,魂力值：
pvpBlockFixed,301,pvp伤害格挡：
pvpNormalBlockFixed,302,普攻伤害减少：
ultraFixed,303,四维属性：
resistDefenseResist,304,忽视防御抵抗：
resistKungFuDefenseResist,305,忽视武防抵抗：
pvpNormalReduceRatio,306,普攻伤害减免：
pvpKungFuReduceRatio,307,武功伤害减免：
