地图编号,地图目录,地图名称,地图进入条件,地图类型,配置文件,地图宽度,地图高度,地图分组,后端分线,开放条件,对应假地图副本,该地图是否可作为返回地图，是否可使用传送符,所用服务器类型,复活坐标,复活cd,复活面板组成,是否可使用连击技,刷新key,角色是否可以重叠,是否安全区能回血回蓝,召唤生效规则,是否支持飞行卷轴使用,是否安全区能回泡点经验,是否接收血色恶魔匹配请求,是否接受被击杀邮件,地图产出绑定天数,客户端判断不过提示,地图是否废弃,是否安全地图,杀人是否增加PK值,地图经验加成,进入地图公告,小地图是否显示boss复活时间,是否支持传送卷轴使用,商业化活动开启时间,活动地图经验加成,地图是否允许组队,是否需要有时间才能进入,角色受击反击是否生效
2100501,100500,失落之塔1,101#50,1,100501,256,256,100501,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
3100501,100500,失落之塔1,101#50,1,100501,256,256,100501,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
100502,100500,失落之塔2,101#50,1,100502,256,256,100502,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100502,100500,失落之塔2,101#50,1,100502,256,256,100502,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100502,100500,失落之塔2,101#50,1,100502,256,256,100502,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100503,100500,失落之塔3,101#50,1,100503,256,256,100503,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100503,100500,失落之塔3,101#50,1,100503,256,256,100503,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100503,100500,失落之塔3,101#50,1,100503,256,256,100503,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100504,100500,失落之塔4,101#50,1,100504,256,256,100504,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100504,100500,失落之塔4,101#50,1,100504,256,256,100504,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100504,100500,失落之塔4,101#50,1,100504,256,256,100504,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100505,100500,失落之塔5,101#50,1,100505,256,256,100505,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100505,100500,失落之塔5,101#50,1,100505,256,256,100505,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100505,100500,失落之塔5,101#50,1,100505,256,256,100505,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100506,100500,失落之塔6,101#50,1,100506,256,256,100506,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100506,100500,失落之塔6,101#50,1,100506,256,256,100506,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100506,100500,失落之塔6,101#50,1,100506,256,256,100506,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
100507,100500,失落之塔7,101#50,1,100507,256,256,100507,1,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100507,100500,失落之塔7,101#50,1,100507,256,256,100507,2,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100507,100500,失落之塔7,101#50,1,100507,256,256,100507,3,,,,1,100501#208#77,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1007,1007,古战场,101#1,1,1007,256,256,1007,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1008,1008,亚特兰蒂斯1,101#70,1,1008,256,256,1008,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21008,1008,亚特兰蒂斯1,101#70,1,1008,256,256,1008,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31008,1008,亚特兰蒂斯1,101#70,1,1008,256,256,1008,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
100801,1008,亚特兰蒂斯2,101#70,1,100801,256,256,100801,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100801,1008,亚特兰蒂斯2,101#70,1,100801,256,256,100801,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100801,1008,亚特兰蒂斯2,101#70,1,100801,256,256,100801,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1009,1009,死亡沙漠1,101#100,1,1009,256,256,1009,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21009,1009,死亡沙漠1,101#100,1,1009,256,256,1009,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31009,1009,死亡沙漠1,101#100,1,1009,256,256,1009,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
100901,1009,死亡沙漠2,101#100,1,100901,256,256,100901,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2100901,1009,死亡沙漠2,101#100,1,100901,256,256,100901,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3100901,1009,死亡沙漠2,101#100,1,100901,256,256,100901,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1010,1010,恶魔广场,101#50,1,1010,256,256,1010,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1011,1011,天空之城1,101#170&1005#20,1,1011,256,256,1011,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
21011,1011,天空之城1,101#170&1005#20,1,1011,256,256,1011,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
31011,1011,天空之城1,101#170&1005#20,1,1011,256,256,1011,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
101101,1011,天空之城2,101#170&1005#20,1,101101,256,256,101101,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2101101,1011,天空之城2,101#170&1005#20,1,101101,256,256,101101,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3101101,1011,天空之城2,101#170&1005#20,1,101101,256,256,101101,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
101102,1011,天空之城3,101#170&1005#20,1,101102,256,256,101102,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2101102,1011,天空之城3,101#170&1005#20,1,101102,256,256,101102,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3101102,1011,天空之城3,101#170&1005#20,1,101102,256,256,101102,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1012,1012,血色城堡,101#50,1,1012,256,256,1012,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1013,1013,战盟首领挑战,101#1,1,1013,256,256,1013,1,,,,1,0,0,1#2#3#11,1,,1,,,,,,,0,,1,,,,,1,,,,,,
1019,1019,赤色要塞,101#1,1,1019,256,256,1019,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
102501,102501,卡利玛神庙1,101#50,2,102501,256,256,102501,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
102502,102502,卡利玛神庙2,101#50,2,102502,256,256,102502,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
102503,102503,卡利玛神庙3,101#50,2,102503,256,256,102503,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
102504,102504,卡利玛神庙4,101#50,2,102504,256,256,102504,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
102505,102505,卡利玛神庙5,101#50,2,102505,256,256,102505,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
102506,102506,卡利玛神庙6,101#50,2,102506,256,256,102506,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
102507,102507,卡利玛神庙7,101#50,2,102507,256,256,102507,0,,,1,1,0,0,1#2#3#11,1,5020401,,,,1,,1,,0,,1,,,,,1,,,,,,
1031,1031,罗兰峡谷-普通,101#1,1,1031,256,256,1031,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
103101,103100,罗兰峡谷1,101#1,1,1031,256,256,103101,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
103102,103100,罗兰峡谷2,101#1,1,1031,256,256,103102,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1032,1032,魔炼之地,101#1,1,1032,256,256,1032,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1032001,1032001,魔炼之地1,101#200,2,1032001,256,256,1032001,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032002,1032002,魔炼之地2,101#200&2404#10320011#1,2,1032002,256,256,1032002,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032003,1032003,魔炼之地3,101#200&2404#10320021#1,2,1032003,256,256,1032003,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032004,1032004,魔炼之地4,101#200&2404#10320031#1,2,1032004,256,256,1032004,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032005,1032005,魔炼之地5,101#200&2404#10320041#1,2,1032005,256,256,1032005,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032006,1032006,魔炼之地6,101#200&2404#10320051#1,2,1032006,256,256,1032006,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032007,1032007,魔炼之地7,101#200&2404#10320061#1,2,1032007,256,256,1032007,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032008,1032008,魔炼之地8,101#200&2404#10320071#1,2,1032008,256,256,1032008,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032009,1032009,魔炼之地9,101#200&2404#10320081#1,2,1032009,256,256,1032009,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1032010,1032010,魔炼之地10,101#200&2404#10320091#1,2,1032010,256,256,1032010,0,,,1,1,0,0,1#2#3#11,1,,,,,1,,1,,0,,1,,,,,1,,,,,,
1034,1034,幽暗森林1,101#140,1,1034,256,256,1034,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21034,1034,幽暗森林1,101#140,1,1034,256,256,1034,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31034,1034,幽暗森林1,101#140,1,1034,256,256,1034,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
103401,1034,幽暗森林2,101#140,1,103401,256,256,103401,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2103401,1034,幽暗森林2,101#140,1,103401,256,256,103401,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3103401,1034,幽暗森林2,101#140,1,103401,256,256,103401,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1035,1035,狼魂要塞,101#1,1,1035,256,256,1035,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1038,1038,坎特鲁废墟1,101#200,1,1038,256,256,1038,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21038,1038,坎特鲁废墟1,101#200,1,1038,256,256,1038,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31038,1038,坎特鲁废墟1,101#200,1,1038,256,256,1038,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
103801,1038,坎特鲁废墟2,101#200,1,103801,256,256,103801,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2103801,1038,坎特鲁废墟2,101#200,1,103801,256,256,103801,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3103801,1038,坎特鲁废墟2,101#200,1,103801,256,256,103801,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1039,1039,坎特鲁遗址1,101#250,1,1039,256,256,1039,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21039,1039,坎特鲁遗址1,101#250,1,1039,256,256,1039,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31039,1039,坎特鲁遗址1,101#250,1,1039,256,256,1039,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
103901,1039,坎特鲁遗址2,101#250,1,103901,256,256,103901,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2103901,1039,坎特鲁遗址2,101#250,1,103901,256,256,103901,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3103901,1039,坎特鲁遗址2,101#250,1,103901,256,256,103901,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1040,1040,坎特鲁提炼之塔,101#1,1,1040,256,256,1040,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1041,1041,GM召唤区,101#1,1,1041,256,256,1041,1,,,,1,0,0,1#2#3#11,1,,,,,1,,,,0,,1,,,,,1,,,,,,
1042,1042,巴卡斯兵营,101#1,1,1042,256,256,1042,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1043,1043,巴卡斯休息室,101#1,1,1043,256,256,1043,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1047,1047,幻影寺院,101#1,1,1047,256,256,1047,1,,,,1,0,0,1#2#3#11,1,,,,,,,,,0,,1,,,,,1,,,,,,
1052,1052,幻术园,101#999,1,1052,256,256,1052,1,,,,1,0,0,1#2#3#11,1,,,1,,,,,,0,,1,,,,,1,,,,,,
1057,1057,安宁池,101#350,1,1057,256,256,1057,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21057,1057,安宁池,101#350,1,1057,256,256,1057,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31057,1057,安宁池,101#350,1,1057,256,256,1057,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
105701,105700,安宁池1,101#350,1,1057,256,256,1057,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
105702,105700,安宁池2,101#350,1,1057,256,256,1057,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
105703,105700,安宁池3,101#350,1,1057,256,256,1057,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
105704,105700,安宁池4,101#350,1,1057,256,256,1057,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
105705,105700,安宁池5,101#350,1,1057,256,256,1057,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1058,1058,冰霜之城1,101#300,1,1058,256,256,1058,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
21058,1058,冰霜之城1,101#300,1,1058,256,256,1058,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
31058,1058,冰霜之城1,101#300,1,1058,256,256,1058,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,1,,,0,,1,,,,,1,,,,,,
105801,1058,冰霜之城2,101#300,1,105801,256,256,105801,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2105801,1058,冰霜之城2,101#300,1,105801,256,256,105801,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3105801,1058,冰霜之城2,101#300,1,105801,256,256,105801,3,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
105802,1058,冰霜之城3,101#300,1,1059,256,256,105802,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
2105802,1058,冰霜之城3,101#300,1,1059,256,256,105802,2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
3105802,1058,冰霜之城3,101#300,1,1059,256,256,105802,3,,,,1,105802#164#25,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1059,1059,孵化魔地,101#999,1,1059,256,256,1059,-2,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1063,1063,圣诞之地,101#999,1,1063,256,256,1063,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1090,1090,圣域,101#999,1,1090,256,256,1090,1,,,,1,0,0,1#2#3#11,1,,,,1#2,,,,,0,,1,,,,,1,,,,,,
1090001,1090000,通天之路,4001#80&901#22/1004#2291105&901#22/1004#2291106&901#22/1004#2291107&901#22,1,1090001,256,256,1090001,1,,,,2,1091#126#118,0,1#2#3#11,1,,,,1#2,1,,,,,开服22天，大师80或佩戴星辰徽记可进入,1,,,,,1,,,,,,
1090002,1090000,上层天,4001#80&901#22/1004#2291105&901#22/1004#2291106&901#22/1004#2291107&901#22,1,1090002,256,256,1090002,1,,,,2,1091#126#118,0,1#2#3#11,1,,,,1#2,1,,,,,开服22天，大师80或佩戴星辰徽记可进入,1,,,,,1,,,,,,
1090003,1090000,至高天,4001#80&901#22/1004#2291105&901#22/1004#2291106&901#22/1004#2291107&901#22,1,1090003,256,256,1090003,1,,,,2,1091#126#118,0,1#2#3#11,1,,,,1#2,1,,,,,开服22天，大师80或佩戴星辰徽记可进入,1,,,,,1,,,,,,
1090011,1090010,苦难之路,4001#80&901#22/1004#2291105&901#22/1004#2291106&901#22/1004#2291107&901#22,1,1090011,256,256,1090011,1,,,,2,1091#126#118,0,1#2#3#11,1,,,,1#2,1,,,,,开服22天，大师80或佩戴星辰徽记可进入,1,,,,,1,,,,,,
1090012,1090010,火焰之河,4001#80&901#22/1004#2291105&901#22/1004#2291106&901#22/1004#2291107&901#22,1,1090012,256,256,1090012,1,,,,2,1091#126#118,0,1#2#3#11,1,,,,1#2,1,,,,,开服22天，大师80或佩戴星辰徽记可进入,1,,,,,1,,,,,,
