装备ID,可用职业,可装孔位,孔位类型,进化词条数量,进化词条库随机概率,随机基础属性,附加属性词条数量,附加属性词条库随机概率,隐藏属性词条数量,隐藏属性词条库随机概率,耐久度,装备后存在总时间,宠物受伤减免,致命加成,创建条数与权重,固定卓越词条,能否镶宝,强化特效,是否携带技能,是否携带buff,是否有变身效果,装备修理费,装备评分,套装编号,装备追加最高等级上限,成长所需材料,场景中是否显示模型,自动回收/分解,自动购买箭矢,原地复活,回收江湖币变成非绑定,每日无损复活次数,土灵符存储坐标数,宠物自动喂养,开启宝石仓库,增加经验试炼副本次数,开启装备更换方案,扩展背包格子数,扩展仓库格子数,几阶装备,装备是否可以叠加,装备叠加上限,是否掉落,价格,标记,称号档位,attribute,disableAttribute
2010010,101#201#311#321#411#421#511#521#611#621,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010020,102#202#312#322#412#422#512#522#612#622,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,22,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010030,103#203#313#323#413#423#513#523#613#623,4,1,,,,,,,,-9999,-9999,,,,,0,,11010101,,,1,24,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010040,104#204#314#324#414#424#514#524#614#624,4,1,,,,,,,,-9999,-9999,,,,,0,,11010101,,,1,26,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010050,105#205#215#225#315#325#415#425#515#525#615#625,4,1,,,,,,,,-9999,-9999,,,,,0,,11040101,,,1,28,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010060,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11040101,,,1,40,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010070,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11010101,,,1,42,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010080,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11010101,,,1,44,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010090,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010100,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010110,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010120,11,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,120,,40,,1,,,,,,,,,,,,,6,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010140,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,140,,40,,1,,,,,,,,,,,,,7,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010170,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,160,,40,,1,,,,,,,,,,,,,8,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010160,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,180,,40,,1,,,,,,,,,,,,,9,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010150,31,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,200,,40,,1,,,,,,,,,,,,,10,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010190,31,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,220,,40,,1,,,,,,,,,,,,,11,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010210,31,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,240,,40,,1,,,,,,,,,,,,,12,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010220,41,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,260,,40,,1,,,,,,,,,,,,,13,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2010230,41,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,280,,40,,1,,,,,,,,,,,,,14,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020010,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11040101,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020020,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020030,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11040101,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020040,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11050101,,,1,102,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020050,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,104,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020060,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11050101,,,1,120,,40,,1,,,,,,,,,,,,,6,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020070,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,140,,40,,1,,,,,,,,,,,,,7,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020090,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11050101,,,1,160,,40,,1,,,,,,,,,,,,,8,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2020130,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,180,,40,,1,,,,,,,,,,,,,9,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030010,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030020,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,40,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030030,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,42,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030040,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,44,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030050,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,46,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030060,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030070,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030080,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,82,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030090,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030100,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,120,,40,,1,,,,,,,,,,,,,6,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2030110,21,4,1,,,,,,,,-9999,-9999,,,,,0,,11030101,,,1,160,,40,,1,,,,,,,,,,,,,10,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040010,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040020,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,22,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040030,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,24,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040040,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,40,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040050,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,42,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050010,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050020,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,62,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050030,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050040,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050050,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,120,,40,,1,,,,,,,,,,,,,6,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040060,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040070,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,22,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040080,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,40,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2040090,11#14,4#5,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050060,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2050070,11#14,4,1,,,,,,,,-9999,-9999,,,,,0,,11020101,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060010,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060020,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070050,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,120,,40,,1,,,,,,,,,,,,,6,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060030,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,140,,40,,1,,,,,,,,,,,,,7,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060070,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,160,,40,,1,,,,,,,,,,,,,8,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060050,22#24,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,180,,40,,1,,,,,,,,,,,,,9,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060090,32,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,200,,40,,1,,,,,,,,,,,,,10,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060060,32,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,220,,40,,1,,,,,,,,,,,,,11,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2060110,32,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,240,,40,,1,,,,,,,,,,,,,12,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070090,42,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,260,,40,,1,,,,,,,,,,,,,13,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070100,42,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,280,,40,,1,,,,,,,,,,,,,14,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070010,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,40,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070020,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070030,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070040,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070060,12#14,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,120,,40,,1,,,,,,,,,,,,,6,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2070070,22#24,4,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,140,,40,,1,,,,,,,,,,,,,7,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080010,0,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,20,,40,,1,,,,,,,,,,,,,1,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080020,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,40,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080030,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,42,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080040,13#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,44,,40,,1,,,,,,,,,,,,,2,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080050,12#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,60,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080060,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,62,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080070,13#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,64,,40,,1,,,,,,,,,,,,,3,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080080,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,80,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080090,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,82,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080100,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,84,,40,,1,,,,,,,,,,,,,4,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080110,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,100,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080120,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,102,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080130,12#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,104,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080140,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,106,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080150,11#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,108,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080160,13#14,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,110,,40,,1,,,,,,,,,,,,,5,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
2080170,22#24,5,1,,,,,,,,-9999,-9999,,,,,0,,,,,1,140,,40,,1,,,,,,,,,,,,,7,,,,,0,,{"maximumPhysBaseDmg":5#"minimumPhysBaseDmg":5#"attackSpeed":5},{}
