技能ID,技能名称,升级经验,技能类型,技能脚本,伤害类型,学习职业,学习等级,魔法消耗,作用目标类型,攻击范围类型,攻击范围,攻速类型,CD时间（重新检查）,僵直时间,技能仇恨值,最大攻击数量,BUFF,子技能,施放距离,显示组别,组别icon,伤害飘字段数,伤害延迟
7212,远程动作2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7213,远程动作2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7214,远程动作2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7221,远程动作2公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7222,远程动作2公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7223,远程动作2公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7224,远程动作2公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7311,远程动作3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7312,远程动作3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7313,远程动作3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7314,远程动作3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7321,远程动作3公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7322,远程动作3公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7323,远程动作3公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7324,远程动作3公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7411,远程动作4单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7412,远程动作4单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7413,远程动作4单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7414,远程动作4单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7421,远程动作4公cd3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7422,远程动作4公cd3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7423,远程动作4公cd3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
7424,远程动作4公cd3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,5,,,100,
8111,近战动作1单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,3000,3000,0,1,,,1,,,100,
8112,近战动作1单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8113,近战动作1单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8114,近战动作1单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8121,近战动作1公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8122,近战动作1公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8123,近战动作1公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8124,近战动作1公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8211,近战动作2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8212,近战动作2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8213,近战动作2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8214,近战动作2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8221,近战动作2公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8222,近战动作2公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8223,近战动作2公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8224,近战动作2公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8311,近战动作3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8312,近战动作3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8313,近战动作3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8314,近战动作3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8321,近战动作3公cd2单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8322,近战动作3公cd2单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8323,近战动作3公cd2单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8324,近战动作3公cd2单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8411,近战动作4单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8412,近战动作4单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8413,近战动作4单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8414,近战动作4单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8421,近战动作4公cd3单体攻击CD1秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8422,近战动作4公cd3单体攻击CD2秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8423,近战动作4公cd3单体攻击CD3秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
8424,近战动作4公cd3单体攻击CD4秒,-1,1,hurt,1,91,,0,1,0,,7,1000,1000,0,1,,,1,,,100,
9100,6格直线攻击,-1,1,hurt,1,91,,0,1,1,9100,7,1000,1000,0,99,,,5,,,100,
9101,6格扇形攻击,-1,1,hurt,1,91,,0,1,1,9101,7,1000,1000,0,99,,,5,,,100,
9102,6格8方向AOE,-1,1,hurt,1,91,,0,1,1,9102,7,1000,1000,0,99,,,5,,,100,
9103,周围3格AOE,-1,1,hurt,1,91,,0,1,1,9103,7,1000,1000,0,99,,,2,,,100,
9104,周围6格AOE,-1,1,hurt,1,91,,0,1,1,9104,7,1000,1000,0,99,,,5,,,100,
9105,目标点AOE,-1,1,hurt,1,91,,0,1,1,9105,7,1000,1000,0,99,,,5,,,100,
9106,4距离大扇形,-1,1,hurt,1,91,,0,1,1,9106,7,1000,1000,0,99,,,5,,,100,
9107,6半径圆形,-1,1,hurt,1,91,,0,1,1,9107,7,1000,1000,0,99,,,5,,,100,
9000000,热血江湖单体近战怪物通用,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010085,武功小怪-85,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010086,武功小怪-86,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010087,武功小怪-87,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010088,武功小怪-88,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010089,武功小怪-89,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010090,武功小怪-90,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010091,武功小怪-91,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010092,武功小怪-92,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010093,武功小怪-93,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010094,武功小怪-94,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010095,武功小怪-95,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010096,武功小怪-96,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010097,武功小怪-97,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010098,武功小怪-98,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010099,武功小怪-99,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010100,武功小怪-100,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010101,武功小怪-101,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010102,武功小怪-102,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010103,武功小怪-103,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010104,武功小怪-104,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010105,武功小怪-105,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010106,武功小怪-106,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010107,武功小怪-107,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010108,武功小怪-108,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010109,武功小怪-109,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010110,武功小怪-110,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010111,武功小怪-111,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010112,武功小怪-112,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010113,武功小怪-113,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010114,武功小怪-114,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010115,武功小怪-115,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010116,武功小怪-116,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010117,武功小怪-117,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010118,武功小怪-118,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010119,武功小怪-119,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010120,武功小怪-120,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010121,武功小怪-121,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010122,武功小怪-122,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010123,武功小怪-123,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010124,武功小怪-124,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010125,武功小怪-125,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010126,武功小怪-126,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010127,武功小怪-127,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010128,武功小怪-128,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010129,武功小怪-129,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010130,武功小怪-130,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010131,武功小怪-131,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010132,武功小怪-132,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010133,武功小怪-133,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010134,武功小怪-134,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010135,武功小怪-135,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010136,武功小怪-136,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010137,武功小怪-137,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010138,武功小怪-138,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010139,武功小怪-139,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9010140,武功小怪-140,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020085,武功精英-85,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020086,武功精英-86,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020087,武功精英-87,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020088,武功精英-88,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020089,武功精英-89,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020090,武功精英-90,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020091,武功精英-91,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020092,武功精英-92,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020093,武功精英-93,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020094,武功精英-94,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020095,武功精英-95,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020096,武功精英-96,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020097,武功精英-97,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020098,武功精英-98,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020099,武功精英-99,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020100,武功精英-100,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020101,武功精英-101,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020102,武功精英-102,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020103,武功精英-103,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020104,武功精英-104,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020105,武功精英-105,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020106,武功精英-106,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020107,武功精英-107,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020108,武功精英-108,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020109,武功精英-109,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020110,武功精英-110,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020111,武功精英-111,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020112,武功精英-112,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020113,武功精英-113,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020114,武功精英-114,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020115,武功精英-115,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020116,武功精英-116,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020117,武功精英-117,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020118,武功精英-118,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020119,武功精英-119,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020120,武功精英-120,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020121,武功精英-121,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020122,武功精英-122,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020123,武功精英-123,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020124,武功精英-124,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020125,武功精英-125,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020126,武功精英-126,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020127,武功精英-127,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020128,武功精英-128,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020129,武功精英-129,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020130,武功精英-130,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020131,武功精英-131,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020132,武功精英-132,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020133,武功精英-133,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020134,武功精英-134,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020135,武功精英-135,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020136,武功精英-136,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020137,武功精英-137,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020138,武功精英-138,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020139,武功精英-139,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9020140,武功精英-140,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030085,武功BOSS-85,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030090,武功BOSS-90,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030095,武功BOSS-95,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030100,武功BOSS-100,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030105,武功BOSS-105,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030110,武功BOSS-110,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030115,武功BOSS-115,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030120,武功BOSS-120,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030125,武功BOSS-125,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030130,武功BOSS-130,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030135,武功BOSS-135,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030140,武功BOSS-140,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030145,武功BOSS-145,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9030150,武功BOSS-150,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040101,世外小怪1,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040102,世外小怪2,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040103,世外小怪3,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040104,世外小怪4,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040105,世外小怪5,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040106,世外小怪6,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040107,世外小怪7,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040108,世外小怪8,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040109,世外小怪9,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040110,世外小怪10,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040111,世外小怪11,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040112,世外小怪12,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040113,世外小怪13,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040114,世外小怪14,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040115,世外小怪15,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040116,世外小怪16,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040117,世外小怪17,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040118,世外小怪18,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040119,世外小怪19,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040120,世外小怪20,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040121,世外小怪21,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040122,世外小怪22,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040123,世外小怪23,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
9040124,世外小怪24,-1,1,hurt,1,91,,0,1,0,,7,2000,1000,0,1,,,2,,,100,1500
