地图编号,地图目录,地图名称,地图进入条件,地图类型,配置文件,地图宽度,地图高度,地图分组,后端分线,开放条件,对应假地图副本,该地图是否可作为返回地图，是否可使用传送符,所用服务器类型,复活坐标,复活cd,复活面板组成,是否可使用连击技,刷新key,角色是否可以重叠,是否安全区能回血回蓝,召唤生效规则,是否支持飞行卷轴使用,是否安全区能回泡点经验,是否接收血色恶魔匹配请求,是否接受被击杀邮件,地图产出绑定天数,客户端判断不过提示,地图是否废弃,是否安全地图,杀人是否增加PK值,地图经验加成,进入地图公告,小地图是否显示boss复活时间,是否支持传送卷轴使用,商业化活动开启时间,活动地图经验加成,地图是否允许组队,是否需要有时间才能进入,角色受击反击是否生效
209025,209025,江湖试炼25层,101#1,2,20900,64,64,209025,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209026,209026,江湖试炼26层,101#1,2,20900,64,64,209026,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209027,209027,江湖试炼27层,101#1,2,20900,64,64,209027,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209028,209028,江湖试炼28层,101#1,2,20900,64,64,209028,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209029,209029,江湖试炼29层,101#1,2,20900,64,64,209029,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209030,209030,江湖试炼30层,101#1,2,20900,64,64,209030,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209031,209031,江湖试炼31层,101#1,2,20900,64,64,209031,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209032,209032,江湖试炼32层,101#1,2,20900,64,64,209032,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209033,209033,江湖试炼33层,101#1,2,20900,64,64,209033,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209034,209034,江湖试炼34层,101#1,2,20900,64,64,209034,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209035,209035,江湖试炼35层,101#1,2,20900,64,64,209035,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209036,209036,江湖试炼36层,101#1,2,20900,64,64,209036,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209037,209037,江湖试炼37层,101#1,2,20900,64,64,209037,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209038,209038,江湖试炼38层,101#1,2,20900,64,64,209038,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209039,209039,江湖试炼39层,101#1,2,20900,64,64,209039,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209040,209040,江湖试炼40层,101#1,2,20900,64,64,209040,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209041,209041,江湖试炼41层,101#1,2,20900,64,64,209041,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209042,209042,江湖试炼42层,101#1,2,20900,64,64,209042,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209043,209043,江湖试炼43层,101#1,2,20900,64,64,209043,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209044,209044,江湖试炼44层,101#1,2,20900,64,64,209044,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209045,209045,江湖试炼45层,101#1,2,20900,64,64,209045,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209046,209046,江湖试炼46层,101#1,2,20900,64,64,209046,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209047,209047,江湖试炼47层,101#1,2,20900,64,64,209047,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209048,209048,江湖试炼48层,101#1,2,20900,64,64,209048,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209049,209049,江湖试炼49层,101#1,2,20900,64,64,209049,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209050,209050,江湖试炼50层,101#1,2,20900,64,64,209050,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209051,209051,宠物试炼「一」,101#40,2,20900,64,64,209051,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209052,209052,宠物试炼「二」,101#45&3801#1#5,2,20900,64,64,209052,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209053,209053,宠物试炼「三」,101#50&3801#2#5,2,20900,64,64,209053,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209054,209054,宠物试炼「四」,101#55&3801#3#5,2,20900,64,64,209054,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209055,209055,宠物试炼「五」,101#60&3801#4#5,2,20900,64,64,209055,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209056,209056,宠物试炼「六」,101#70&3801#5#5,2,20900,64,64,209056,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209057,209057,宠物试炼「七」,101#80&3801#6#5,2,20900,64,64,209057,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209058,209058,宠物试炼「八」,101#85&3801#7#5,2,20900,64,64,209058,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209059,209059,宠物试炼「九」,101#90&3801#8#5,2,20900,64,64,209059,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209060,209060,宠物试炼「十」,101#95&3801#9#5,2,20900,64,64,209060,0,,,1,1,101#195#281,0,1#2#3#11,0,1371003,,,,1,,1,,,,1,,,,,1,,,,,,
209061,209061,试炼之地61层,101#1,2,20900,64,64,209061,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209062,209062,试炼之地62层,101#1,2,20900,64,64,209062,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209063,209063,试炼之地63层,101#1,2,20900,64,64,209063,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209064,209064,试炼之地64层,101#1,2,20900,64,64,209064,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209065,209065,试炼之地65层,101#1,2,20900,64,64,209065,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209066,209066,试炼之地66层,101#1,2,20900,64,64,209066,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209067,209067,试炼之地67层,101#1,2,20900,64,64,209067,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209068,209068,试炼之地68层,101#1,2,20900,64,64,209068,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209069,209069,试炼之地69层,101#1,2,20900,64,64,209069,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209070,209070,试炼之地70层,101#1,2,20900,64,64,209070,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209071,209071,坐骑试炼「一」,101#55,2,20900,64,64,209071,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209072,209072,坐骑试炼「二」,101#60&3901#1#5,2,20900,64,64,209072,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209073,209073,坐骑试炼「三」,101#65&3901#2#5,2,20900,64,64,209073,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209074,209074,坐骑试炼「四」,101#70&3901#3#5,2,20900,64,64,209074,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209075,209075,坐骑试炼「五」,101#75&3901#4#5,2,20900,64,64,209075,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209076,209076,坐骑试炼「六」,101#80&3901#5#5,2,20900,64,64,209076,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209077,209077,坐骑试炼「七」,101#85&3901#6#5,2,20900,64,64,209077,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209078,209078,坐骑试炼「八」,101#90&3901#7#5,2,20900,64,64,209078,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209079,209079,坐骑试炼「九」,101#95&3901#8#5,2,20900,64,64,209079,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209080,209080,坐骑试炼「十」,101#100&3901#9#5,2,20900,64,64,209080,0,,,1,1,101#195#281,0,1#2#3#11,0,1371004,,,,1,,1,,,,1,,,,,1,,,,,,
209081,209081,试炼之地81层,101#1,2,20900,64,64,209081,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209082,209082,试炼之地82层,101#1,2,20900,64,64,209082,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209083,209083,试炼之地83层,101#1,2,20900,64,64,209083,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209084,209084,试炼之地84层,101#1,2,20900,64,64,209084,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209085,209085,试炼之地85层,101#1,2,20900,64,64,209085,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209086,209086,试炼之地86层,101#1,2,20900,64,64,209086,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209087,209087,试炼之地87层,101#1,2,20900,64,64,209087,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209088,209088,试炼之地88层,101#1,2,20900,64,64,209088,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209089,209089,试炼之地89层,101#1,2,20900,64,64,209089,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209090,209090,试炼之地90层,101#1,2,20900,64,64,209090,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209091,209091,试炼之地91层,101#1,2,20900,64,64,209091,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209092,209092,试炼之地92层,101#1,2,20900,64,64,209092,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209093,209093,试炼之地93层,101#1,2,20900,64,64,209093,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209094,209094,试炼之地94层,101#1,2,20900,64,64,209094,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209095,209095,试炼之地95层,101#1,2,20900,64,64,209095,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209096,209096,试炼之地96层,101#1,2,20900,64,64,209096,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209097,209097,试炼之地97层,101#1,2,20900,64,64,209097,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209098,209098,试炼之地98层,101#1,2,20900,64,64,209098,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209099,209099,试炼之地99层,101#1,2,20900,64,64,209099,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209100,209100,试炼之地100层,101#1,2,20900,64,64,209100,0,,,1,1,101#195#281,0,1#2#3#11,0,,,,,1,,1,,,,1,,,,,1,,,,,,
209101,209101,神兵塔1层,101#1,2,20900,64,64,209101,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209102,209102,神兵塔2层,101#1&4801#1,2,20900,64,64,209102,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209103,209103,神兵塔3层,101#1&4801#2,2,20900,64,64,209103,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209104,209104,神兵塔4层,101#1&4801#3,2,20900,64,64,209104,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209105,209105,神兵塔5层,101#1&4801#4,2,20900,64,64,209105,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209106,209106,神兵塔6层,101#1&4801#5,2,20900,64,64,209106,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209107,209107,神兵塔7层,101#1&4801#6,2,20900,64,64,209107,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209108,209108,神兵塔8层,101#1&4801#7,2,20900,64,64,209108,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209109,209109,神兵塔9层,101#1&4801#8,2,20900,64,64,209109,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209110,209110,神兵塔10层,101#1&4801#9,2,20900,64,64,209110,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209111,209111,神兵塔11层,101#1&4801#10,2,20900,64,64,209111,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209112,209112,神兵塔12层,101#1&4801#11,2,20900,64,64,209112,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209113,209113,神兵塔13层,101#1&4801#12,2,20900,64,64,209113,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209114,209114,神兵塔14层,101#1&4801#13,2,20900,64,64,209114,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209115,209115,神兵塔15层,101#1&4801#14,2,20900,64,64,209115,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209116,209116,神兵塔16层,101#1&4801#15,2,20900,64,64,209116,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209117,209117,神兵塔17层,101#1&4801#16,2,20900,64,64,209117,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209118,209118,神兵塔18层,101#1&4801#17,2,20900,64,64,209118,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209119,209119,神兵塔19层,101#1&4801#18,2,20900,64,64,209119,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209120,209120,神兵塔20层,101#1&4801#19,2,20900,64,64,209120,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209121,209121,神兵塔21层,101#1&4801#20,2,20900,64,64,209121,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209122,209122,神兵塔22层,101#1&4801#21,2,20900,64,64,209122,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209123,209123,神兵塔23层,101#1&4801#22,2,20900,64,64,209123,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209124,209124,神兵塔24层,101#1&4801#23,2,20900,64,64,209124,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209125,209125,神兵塔25层,101#1&4801#24,2,20900,64,64,209125,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209126,209126,神兵塔26层,101#1&4801#25,2,20900,64,64,209126,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209127,209127,神兵塔27层,101#1&4801#26,2,20900,64,64,209127,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209128,209128,神兵塔28层,101#1&4801#27,2,20900,64,64,209128,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209129,209129,神兵塔29层,101#1&4801#28,2,20900,64,64,209129,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209130,209130,神兵塔30层,101#1&4801#29,2,20900,64,64,209130,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209131,209131,神兵塔31层,101#1&4801#30,2,20900,64,64,209131,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209132,209132,神兵塔32层,101#1&4801#31,2,20900,64,64,209132,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209133,209133,神兵塔33层,101#1&4801#32,2,20900,64,64,209133,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209134,209134,神兵塔34层,101#1&4801#33,2,20900,64,64,209134,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209135,209135,神兵塔35层,101#1&4801#34,2,20900,64,64,209135,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209136,209136,神兵塔36层,101#1&4801#35,2,20900,64,64,209136,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209137,209137,神兵塔37层,101#1&4801#36,2,20900,64,64,209137,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209138,209138,神兵塔38层,101#1&4801#37,2,20900,64,64,209138,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209139,209139,神兵塔39层,101#1&4801#38,2,20900,64,64,209139,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209140,209140,神兵塔40层,101#1&4801#39,2,20900,64,64,209140,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
209141,209141,神兵塔41层,101#1&4801#40,2,20900,64,64,209141,0,,,1,1,101#195#281,0,16,0,1371005,,,,1,,1,,,,1,,,,,1,,,,,,
