BUFFid,BUFF名称,BUFF类型,BUFF子类型,BUFF参数,BUFF参数2,BUFF参数3,触发时机,首次执行延迟,执行间隔,消除类型,执行对象,是否可共存,优先级,持续时间参数,BUFF属性,buff群,该buff无法覆盖,BUFF属性组,buff描述,进试炼塔是否清除该buff,buff伤害是否独立飘数字,buff效果文字飘字,战力值
900113,怪物用百分比伤害9%延迟伤害,4,401,900#0,,,3,1000,600,1#3,1,0,1,1200,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
916861,百分比伤害,4,401,500#0,,,3,0,600,1#3,1,0,1,200,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
916862,百分比伤害,4,401,200#0,,,3,0,600,1#3,1,0,1,200,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1000001,生命之光附加减伤,1,,1400#0,,,3,0,0,1#3,5,24,1,600000,,,,{"monsterDamageAbsorption":100000000},减少<color=#1add1f>14%</color>自身受到的伤害,,,,
1000002,生命之光附加减伤,1,,1700#0,,,3,0,0,1#3,5,24,1,600000,,,,{"monsterDamageAbsorption":100000000},减少<color=#1add1f>17%</color>自身受到的伤害,,,,
1000003,生命之光附加减伤,1,,2000#0,,,3,0,0,1#3,5,24,1,600000,,,,{"monsterDamageAbsorption":100000000},减少<color=#1add1f>20%</color>自身受到的伤害,,,,
1000101,减速,1,118,-3000#-3000,,,3,0,0,1#3,1,6,3,3000,100,2,,{"moveSpeed_mul":00},降低目标<color=#1add1f>30%</color>的移动速度,,,,
1080101,巴里的守护,1,108,8000#8000#10000,,,3,0,0,7,5,30,1,0,,,,{"moveSpeed_mul":0},受到巴里的保护，增加自身<color=#1add1f>[defenseBase]%d</color>防御力和<color=#1add1f>[defenseRatePvm]%d</color>防御率,,,,
1080102,巴里的守护,1,108,9000#9000#10000,,,3,0,0,7,5,30,1,0,,,,{"moveSpeed_mul":0},受到巴里的保护，增加自身<color=#1add1f>[defenseBase]%d</color>防御力和<color=#1add1f>[defenseRatePvm]%d</color>防御率,,,,
1080103,巴里的守护,1,108,10000#10000#10000,,,3,0,0,7,5,30,1,0,,,,{"moveSpeed_mul":0},受到巴里的保护，增加自身<color=#1add1f>[defenseBase]%d</color>防御力和<color=#1add1f>[defenseRatePvm]%d</color>防御率,,,,
1080104,巴里的守护,1,108,10000#10000#10000,,,3,0,0,7,5,30,1,0,,,,{"moveSpeed_mul":0},受到巴里的保护，增加自身<color=#1add1f>[defenseBase]%d</color>防御力和<color=#1add1f>[defenseRatePvm]%d</color>防御率,,,,
1080105,巴里的守护,1,108,10000#10000#10000,,,3,0,0,7,5,30,1,0,,,,{"moveSpeed_mul":0},受到巴里的保护，增加自身<color=#1add1f>[defenseBase]%d</color>防御力和<color=#1add1f>[defenseRatePvm]%d</color>防御率,,,,
1321600,奥丁的加持冷却,1,120,0#0,,,3,0,0,3,5,0,1,60000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发奥丁的加持。,1,,,
1321601,奥丁的加持lv1,1,120,0#0#0#0,,,3,0,0,3,5,1321600,1,5000,,,,{"defenseRatePvm_mul":1000},防御率提升<color=#1add1f>10%</color>,,,,
1321602,奥丁的加持lv2,1,120,0#0#0#0,,,3,0,0,3,5,1321600,2,5000,,,,{"defenseRatePvm_mul":1500},防御率提升<color=#1add1f>15%</color>,,,,
1321603,奥丁的加持lv3,1,120,0#0#0#0,,,3,0,0,3,5,1321600,3,5000,,,,{"defenseRatePvm_mul":2000},防御率提升<color=#1add1f>20%</color>,,,,
1321604,奥丁的加持lv4,1,120,0#0#0#0,,,3,0,0,3,5,1321600,4,5000,,,,{"defenseRatePvm_mul":2500},防御率提升<color=#1add1f>25%</color>,,,,
1321605,奥丁的加持lv5,1,120,0#0#0#0,,,3,0,0,3,5,1321600,5,5000,,,,{"defenseRatePvm_mul":3000},防御率提升<color=#1add1f>30%</color>,,,,
1321606,奥丁的加持lv6,1,120,0#0#0#0,,,3,0,0,3,5,1321600,6,5000,,,,{"defenseRatePvm_mul":3600},防御率提升<color=#1add1f>36%</color>,,,,
1321607,奥丁的加持lv7,1,120,0#0#0#0,,,3,0,0,3,5,1321600,7,5000,,,,{"defenseRatePvm_mul":4200},防御率提升<color=#1add1f>42%</color>,,,,
1321608,奥丁的加持lv8,1,120,0#0#0#0,,,3,0,0,3,5,1321600,8,5000,,,,{"defenseRatePvm_mul":5000},防御率提升<color=#1add1f>50%</color>,,,,
1322001,神铸之锋,1,125,,,,3,0,0,3,6,1322000,1,5000,,,,{"damageReflection":-2000},伤害反弹属性减少<color=#ff2323>20%</color>,,,,
1322002,神铸之锋,1,125,,,,3,0,0,3,6,1322000,2,5000,,,,{"damageReflection":-2500},伤害反弹属性减少<color=#ff2323>25%</color>,,,,
1322003,神铸之锋,1,125,,,,3,0,0,3,6,1322000,3,5000,,,,{"damageReflection":-3000},伤害反弹属性减少<color=#ff2323>30%</color>,,,,
1322004,神铸之锋,1,125,,,,3,0,0,3,6,1322000,4,5000,,,,{"damageReflection":-3500},伤害反弹属性减少<color=#ff2323>35%</color>,,,,
1322005,神铸之锋,1,125,,,,3,0,0,3,6,1322000,5,5000,,,,{"damageReflection":-4000},伤害反弹属性减少<color=#ff2323>40%</color>,,,,
1322006,神铸之锋,1,125,,,,3,0,0,3,6,1322000,6,5000,,,,{"damageReflection":-4500},伤害反弹属性减少<color=#ff2323>45%</color>,,,,
1322007,神铸之锋,1,125,,,,3,0,0,3,6,1322000,7,5000,,,,{"damageReflection":-5000},伤害反弹属性减少<color=#ff2323>50%</color>,,,,
1323001,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323002,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,2,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323003,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,3,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323004,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,4,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323005,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,5,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323006,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,6,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323007,神铸之守,5,506,0#10000#0#2500#0#0,,,3,0,1500,3,5,1323000,7,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1323051,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,1,120000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1323052,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,2,100000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1323053,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,3,85000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1323054,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,4,70000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1323055,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,5,60000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1323056,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,6,50000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1323057,神铸之守冷却,5,506,0#0#0#0#0#0,,,1,0,0,3,5,1323050,7,45000,,,,{"defenseBase":0#"moveSpeed_mul":0},倒计时结束前无法再次触发神铸之守。,,,,
1324001,龙息,13,,300#0#9000,,,3,0,2000,1#3,6,1324001,1,10000,101,,,{"defenseBase":0#"moveSpeed_mul":0},龙息，每2秒损失3%生命值，持续<color=#1add1f>10</color>秒,,,,
1324002,混乱,2,202,,,,3,0,0,1#3,6,1324002,1,2000,,,,{"defenseBase":0#"moveSpeed_mul":0},无法动弹，持续2秒,,,,
1324003,灭世龙炎,13,,6000#0#9000,,,3,0,2000,1#3,6,1324003,1,1000,101,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1324004,沉默,2,219,,,,3,0,0,1#3,6,1324004,1,3000,,,,{"defenseBase":0#"moveSpeed_mul":0},无法使用技能和普攻,,,,
1324005,龙回血,5,501,200#0,,,3,0,1500,1#3,5,1324005,12,6000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1324006,屠龙者的祝福,1,120,0#0#0#0,,,3,0,0,3,5,,8,21600000,,,,{"exEquipDropRate":3000#"stoneDropRate":3000},<color=#1add1f>+30%</color>卓越装备掉率，<color=#1add1f>+30%</color>宝石掉率,1,,,
1325001,变形术测试,2,221,5#300002,,,3,0,0,3,5,1325001,1,60000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
1325002,幼龙变身,2,221,5#100102,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325003,雪王变身,2,221,5#100306,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325004,骷髅兵变身,2,221,5#100108,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325005,毒牛怪变身,2,221,5#100210,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325006,鬼魅变身,2,221,5#100501,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325007,牛魔王变身,2,221,5#100504,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325008,魔鬼戈登,2,221,5#100212,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325009,冰后变身,2,221,5#100307,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325010,魔王巴洛克,2,221,5#100508,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325011,海魔希特拉,2,221,5#100807,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1325012,昆顿,2,221,5#105920001,,,3,0,0,3,5,1325001,1,-1,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1330001,元素共鸣（火）lv1,1,120,0#0#0#0,,,3,0,0,3,5,1330000,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1330002,元素共鸣（火）lv2,1,120,0#0#0#0,,,3,0,0,3,5,1330000,2,0,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1330003,元素共鸣（火）lv3,1,120,0#0#0#0,,,3,0,0,3,5,1330000,3,0,,,,{"defenseBase":0#"moveSpeed_mul":0},,1,,,
1340001,元素共鸣（水）lv1,1,120,0#0#0#0,,,3,0,0,3,5,1340000,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},不屈lv1：豁免触发后的5次伤害,1,,,
1340002,元素共鸣（水）lv2,1,120,0#0#0#0,,,3,0,0,3,5,1340000,2,0,,,,{"defenseBase":0#"moveSpeed_mul":0},不屈lv1：豁免触发后的10次伤害,1,,,
1340003,元素共鸣（水）lv3,1,120,0#0#0#0,,,3,0,0,3,5,1340000,3,0,,,,{"defenseBase":0#"moveSpeed_mul":0},不屈lv1：豁免触发后的15次伤害,1,,,
1350001,元素共鸣（风）lv1,1,120,0#0#0#0,,,3,0,0,3,5,1350000,1,5000,,,,{"attackRatePvm_mul":-2000},失明lv1：攻击成功率降低20%，持续5秒,1,,,
1350002,元素共鸣（风）lv2,1,120,0#0#0#0,,,3,0,0,3,5,1350000,2,5000,,,,{"attackRatePvm_mul":-3000},失明lv2：攻击成功率降低30%，持续5秒,1,,,
1350003,元素共鸣（风）lv3,1,120,0#0#0#0,,,3,0,0,3,5,1350000,3,5000,,,,{"attackRatePvm_mul":-4000},失明lv3：攻击成功率降低40%，持续5秒,1,,,
1360001,元素共鸣（土）lv1,1,120,0#0#0#0,,,3,0,0,3,5,1360000,1,3000,,,,{"defenseBase":0#"moveSpeed_mul":0},枯竭lv1：药水恢复能力降低50%，持续3秒,1,,,
1360002,元素共鸣（土）lv2,1,120,0#0#0#0,,,3,0,0,3,5,1360000,2,3000,,,,{"defenseBase":0#"moveSpeed_mul":0},枯竭lv2：使水恢复能力降低75%，持续3秒,1,,,
1360003,元素共鸣（土）lv3,1,120,0#0#0#0,,,3,0,0,3,5,1360000,3,3000,,,,{"defenseBase":0#"moveSpeed_mul":0},枯竭lv3：药水恢复能力降低100%，持续3秒,1,,,
1370001,元素共鸣（暗）lv1,1,120,0#0#0#0,,,3,0,0,3,5,1370000,1,5000,,,,{"elementAttack":1000},沉渊lv1：元素攻击增幅+10%，持续5秒,1,,,
1370002,元素共鸣（暗）lv2,1,120,0#0#0#0,,,3,0,0,3,5,1370000,2,5000,,,,{"elementAttack":2000},沉渊lv2：元素攻击增幅+20%，持续5秒,1,,,
1370003,元素共鸣（暗）lv3,1,120,0#0#0#0,,,3,0,0,3,5,1370000,3,5000,,,,{"elementAttack":3000},沉渊lv3：元素攻击增幅+30%，持续5秒,1,,,
2000001,吸血,2,205,1000#0,,,3,0,0,3,5,3,1,180000,,,,{"defenseBase":0#"moveSpeed_mul":0},恢复造成伤害<color=#1add1f>10%</color>的血量,,,,
2000002,复活,2,206,,,,2,0,500,3,5,4,1,200,,,,{"defenseBase":0#"moveSpeed_mul":0},死亡后会复活,,,,
2000301,隐身（瞬移用1/5）,2,203,,,,3,0,0,1#3,5,0,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2000302,隐身,2,203,,,,3,0,0,1#3,2,0,1,1800000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2000701,禁止移动（瞬移用2/5）,2,207,,,,3,0,0,1#3,5,0,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2001701,召唤兽技能减CD,2,217,5000,,,3,0,0,1#3,2,27,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2001801,无敌（瞬移用3/5）,2,218,,,,3,0,0,1#3,5,0,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2001901,禁止使用技能（瞬移用4/5）,2,219,,,,3,0,0,1#3,5,0,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2002001,移除时使用技能（瞬移用5/5）,2,220,12060401,,,3,0,0,1#3,5,0,1,1000,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
2004001,毒,4,401,100#0,,,3,3000,3000,1#3,1,1,1,16000,105,1,,{"defenseBase":0#"moveSpeed_mul":0},受到中毒伤害，持续<color=#1add1f>15</color>秒,,,,
3000010,苹果,5,501,0#30,,,3,0,1500,1#3,5,0,1,100,,,,{"defenseBase":0#"moveSpeed_mul":0},,,,,
3000020,小瓶治疗药水,5,501,200#100,,,3,0,1500,1#3,5,0,2,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000030,中瓶治疗药水,5,501,200#300,,,3,0,1500,1#3,5,0,3,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000040,大瓶治疗药水,5,501,200#600,,,3,0,1500,1#3,5,0,4,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000041,特大治疗药水,5,501,200#1000,,,3,0,1500,1#3,5,0,5,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000042,强效治疗药水,5,501,200#1500,,,3,0,1500,1#3,5,0,6,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000043,特效治疗药水,5,501,200#2100,,,3,0,1500,1#3,5,0,7,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000044,极效治疗药水,5,501,200#2800,,,3,0,1500,1#3,5,0,8,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000045,祝福治疗药水,5,501,200#3600,,,3,0,1500,1#3,5,0,9,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000046,神佑治疗药水,5,501,200#4500,,,3,0,1500,1#3,5,0,10,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000047,神圣治疗药水,5,501,200#5500,,,3,0,1500,1#3,5,0,11,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000048,神圣治疗精华,5,501,200#6600,,,3,0,1500,1#3,5,0,12,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复生命值,,,,
3000050,小瓶魔力药水,5,502,1000#50,,,3,0,1500,1#3,5,0,1,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000060,中瓶魔力药水,5,502,1200#100,,,3,0,1500,1#3,5,0,2,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000070,大瓶魔力药水,5,502,1400#150,,,3,0,1500,1#3,5,0,3,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000071,特大魔力药水,5,502,1600#200,,,3,0,1500,1#3,5,0,4,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000072,强效魔力药水,5,502,1800#250,,,3,0,1500,1#3,5,0,5,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000073,特效魔力药水,5,502,2000#300,,,3,0,1500,1#3,5,0,6,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000074,极效魔力药水,5,502,2200#350,,,3,0,1500,1#3,5,0,7,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000075,祝福魔力药水,5,502,2400#400,,,3,0,1500,1#3,5,0,8,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000076,神佑魔力药水,5,502,2600#450,,,3,0,1500,1#3,5,0,9,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000077,神圣魔力药水,5,502,2800#500,,,3,0,1500,1#3,5,0,10,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000078,神圣魔力精华,5,502,3000#550,,,3,0,1500,1#3,5,0,11,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},持续回复魔法值,,,,
3000080,解毒剂,6,601,1,,,3,0,1500,1#3,5,0,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},解毒剂,,,,
3000090,酒,1,,,,,3,0,0,1#3,5,0,1,180000,,,,{"defenseBase":0#"moveSpeed_mul":0},酒,,,,
3000100,束缚,2,202,,,,3,0,0,3,1,29,1,3000,,,,{"defenseBase":0#"moveSpeed_mul":0},束缚,,,,
3000110,解除束缚,6,602,3000100,,,3,0,0,3,2,0,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},解除束缚,,,,
3000120,隐身,2,203,,,,3,0,0,5#6,5,0,1,3600000,,3,,{"defenseBase":0#"moveSpeed_mul":0},隐身,,,,
3000130,解除隐身,6,601,3,,,3,0,0,3,1,0,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},解除隐身,,,,
3000140,驱散所有buff,6,601,1#2#3,,,3,0,0,3,1,0,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},驱散所有buff,,,,
3000150,回魔,5,502,5000#0,,,3,0,0,3,2,0,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},回魔,,,,
3000160,减速,1,118,-3000#-3000,,,3,0,0,1#3,1,6,2,3600,100,2,,{"moveSpeed_mul":0},降低<color=#1add1f>30%</color>的移动速度,,,,
3000161,减速,1,118,-3000#-3000,,,3,0,0,1#3,1,6,2,3600,100,2,,{"moveSpeed_mul":0},降低自身<color=#1add1f>70%</color>的移动速度,,,,
3000162,减速,1,118,-3000#-3000,,,3,0,0,1#3,1,6,2,3600,100,2,,{"moveSpeed_mul":0},降低自身<color=#1add1f>70%</color>的移动速度,,,,
3000163,减速,1,118,-3000#-3000,,,3,0,0,1#3,1,6,2,3600,100,2,,{"moveSpeed_mul":0},降低自身<color=#1add1f>70%</color>的移动速度,,,,
3000164,减速,1,118,-3000#-3000,,,3,0,0,1#3,1,6,2,3600,100,2,,{"moveSpeed_mul":0},降低自身<color=#1add1f>70%</color>的移动速度,,,,
3100001,圣盾防御,1,105,1000#0,,,3,0,0,1#3,5,14,1,600000,,,,{"damageAbsorption":1000},抵抗大量伤害,,,,
3100002,生命之光,1,106,0#120000#50#250#0,,,3,0,0,1#3#12,2,7,1,300000,,,,{"maximumHealth_mul":0#"maximumHealth_fAdd":0},增加自身<color=#1add1f>[maximumHealth]%d</color>生命上限，体力和智力越高，增加比例越高,,,,
3100003,冰封,1,118,-3000#-3000,,,3,0,0,1#3,1,8,1,2000,100,,,{"moveSpeed_mul":0},降低<color=#1add1f>30%</color>的移动速度,,,,
3100004,守护之魂,1,104,100000#100#20#5000,,,3,0,0,1#3#12,5,9,1,300000,,,,{"damageReceiveDecrementBuff":0},减少<color=#1add1f>[damageReceiveDecrementBuff]%s%%</color>自身受到的伤害，敏捷和智力越高，减少比例越高,,,,
3100005,受击减魔,1,107,1000#0,,,3,0,0,1#3,5,10,1,600000,,,,{"hurtReduceMPRate":1000#"hurtReduceMPFix":0},,,,,
3100006,治疗,5,504,0#0#300000000#0,,,5,0,0,1#3,2,11,1,0,,,,{"defenseBase":0#"moveSpeed_mul":0},瞬间回复大量生命值,,,,
3100007,守护之光,1,120,0#100000000,,,3,0,0,1#3,2,12,1,300000,,,,{"damageReceiveDecrement":0},增加<color=#1add1f>[defenseBase]%d</color>防御力,,,,
3100008,战神之力,1,121,0#200000000#200000000,,,3,0,0,1#3,2,13,1,300000,,,,{"attackDamageIncrease":0},增加<color=#1add1f>[maximumPhysBaseDmg]%d</color>攻击力,,,,
3100009,法神附体,1,109,0#2000,,,3,0,0,1#3#12,5,15,1,300000,,,,{"minimumWizBaseDmg_mul":0#"minimumWizBaseDmg":0},最小魔法攻击增加20%,,,,
3100010,祝福,1,105,500#0,,,3,0,0,1#3,2,17,1,300000,,,,{"damageAbsorption":500},受到的所有伤害减少5%,,,,
4000101,晕眩,2,202,,,,3,0,0,1#3,1,0,1,3000,,,,{"defenseBase":0#"moveSpeed_mul":0},无法动弹，持续3秒,,,,
4000102,破甲,1,120,0#0#-1000,,,3,0,0,1#3,1,0,1,10000,,,,{"defenseBase":-1000#"moveSpeed_mul":0},防御力减少1000，持续10秒,,,,
4000103,流血,4,401,300#0,,,3,1000,1000,1#3,1,0,1,3500,,,,{"defenseBase":0#"moveSpeed_mul":0},流血每秒损失3%最大生命，持续3秒,,,,
