ID,标识物品废弃,道具名称,图标,道具类型,子类型,X轴,Y轴,使用条件201&$M$2&O7&$P$2&101&$M$2&P7&$P$2&301&$M$2&Q7&$P$2&401&$M$2&R7&$P$2&501&$M$2&S7,可用职业,可用性别,需要等级,阵营要求,特殊归属保护时间,品质,聊天颜色显示,tips颜色显示,战斗力,是否绑定,堆叠数量,使用效果,道具参数,自动使用,使用cd,共用CD组,使用次数,获取次数,拾取次数,整理排序,售价,回收额外获得,捐献贡献,是否可以销毁,拍卖行底价,物品使用条件（服务器）,是否会掉落,服务器日志（记录物品的来源和去向）,掉落日志,道具有效时间,对应非绑定道具id,是否拍卖,价格限制,是否获得即使用,离开副本后道具状态,拍卖公示时间,最小上架数量,推荐价格,竞价幅度,时装标示,死亡购买使用道具,交易行购买后是否变为绑定,日志记录,未拾取邮件补发物品标记,是否可存入仓库,时装系列
1000306,,飞升历练,9001092,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,-1,0,1,
1000307,,锻体经验,9001116,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,-1,0,1,
1000400,,武勋,9000857,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000401,,正邪战场体力,9000874,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000402,,正邪战场积分,7120010,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000403,,神殿已经领取奖励的次数,7120010,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000500,,工匠声望,9000856,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000600,,钻石,9000965,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000700,,充值额度,9000965,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000800,,剑皇熔炉点,9001082,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000900,,巅峰令,1000900,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000901,,1v1挑战次数,9000874,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1001000,,经脉经验,9001115,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,-1,0,1,
1001100,,密路金币,9001107,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1001200,,红包币,9001195,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1001300,,风云币,9001233,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1001400,,日卡时间,9000086,1,101,1,1,,0,,,,,,,,,0,-1,,335#86400#19000040,1,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000011,,100万金币,1000010,3,0,1,1,,0,,1,,,,,,,0,99,35#1000010#1000000,,,,,,,,1000,,,100,0,100,1,0,0,0,0,,1#1000030,10#50,,,1800000,1,20,,,,,-1,0,1,
1000012,,1000万金币,1000010,3,0,1,1,,0,,1,,,,,,,0,99,35#1000010#10000000,,,,,,,,1000,,,100,0,100,1,0,0,0,0,,1#1000030,100#500,,,1800000,1,200,,,,,-1,0,1,
1000013,,1亿金币,1000010,3,0,1,1,,0,,1,,,,,,,0,99,35#1000010#100000000,,,,,,,,1000,,,100,0,100,1,0,0,0,0,,1#1000030,1000#5000,,,1800000,1,2000,,,,,-1,0,1,
1000020,,热血币,9000081,1,0,1,1,,0,,,,,5,5,5,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,1#1000030,1#50,,,1800000,1000,25,,,,,1,0,1,
1000021,,绑定热血币,9000081,1,0,1,1,,0,,,,,5,5,5,,1,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,1000020,,,,,,,,,,,,1,0,1,
1000030,,元宝,9000010,1,102,1,1,,0,,,,,6,6,6,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,1#1000010,100000#500000,,,1800000,1,200000,,,,,1,0,1,
1000040,,熔炉点,1000040,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,,,-1,0,1,
1000050,,绑定元宝,9000010,1,102,1,1,,0,,,,,6,6,6,,1,-1,,,,,,,,,10400,,,,1,,1,0,1,0,0,1000030,,,,,,,,,,,,1,0,1,
1000150,,福利元宝,1000050,1,102,1,1,,0,,,,,6,6,6,,1,-1,,,,,,,,,10400,,,,1,,1,0,1,0,0,1000030,,,,,,,,,,,,1,0,1,
1000250,,宝钱（绑）,9000009,3,0,1,1,,0,,,,,6,6,6,,1,99999999,50#100,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1000251,,宝钱,9000009,3,0,1,1,,0,,,,,6,6,6,,1,99999999,50#100,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1000060,,战盟经验,1000030,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,,,-1,0,1,
1000070,,门派积分,9000660,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,6030201,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000071,,门派贡献,9000660,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000074,,青铜秘钥,9000900,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000075,,白银秘钥,9000901,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000076,,学院经验,9000511,1,0,1,1,,0,,,,,,,,,0,-1,,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000080,,经验,9000511,1,0,1,1,,0,,,,,,,,,0,-1,,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000090,,战盟资金,1000030,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,,,-1,0,1,
1000100,,密阁积分,1000030,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,,,-1,0,1,
1000110,,会员精华,1000030,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000111,,秘宝金币,9000870,3,0,1,1,,0,,,,,6,6,6,,1,999999,,,,,,,,,1000,,,,1,,1,0,0,0,0,,,,,,,,,,,,,-1,0,1,
1000112,,白虎布偶,1000111,3,0,1,1,,0,,,,,,12,12,,1,999999,,,,,,,,,10400,1000021#1000,,,1,,1,0,0,0,0,1000113,,,,,,,,,,1,,-1,0,1,
1000113,,白虎布偶,1000111,6,609,1,1,,0,,,,,,12,12,,0,999999,,,,,,,,,10400,1000021#1000,,,1,,1,0,0,0,0,,1#1000020,1000#20000,,,,1,5000,,,1,,-1,0,1,
1000114,,桃花朵朵 ,1000111,3,0,1,1,,0,,,,,,12,12,,1,999999,62#1000021#1000,,,,,,,,10400,1000021#1000,,,1,,1,0,0,0,0,1000115,,,,,,,,,,1,,-1,0,1,
1000115,,桃花朵朵 ,1000111,6,609,1,1,,0,,,,,,12,12,,0,999999,62#1000021#1000,,,,,,,,10400,1000021#1000,,,1,,1,0,0,0,0,,1#1000020,1000#20000,,,,1,5000,,,1,,-1,0,1,
1000116,,寻宝券,9000651,3,0,1,1,,0,,,,,5,5,5,,1,999999,10#7779,,,,,,,,10400,,,,1,,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1000117,,春日醉,1000117,3,0,1,1,,0,,,,,,12,12,,1,999999,62#1000021#1000,,,,,,,,10400,,,,1,,1,0,0,0,0,1000118,,,,,,,,,,1,,-1,0,1,
1000118,,春日醉,1000117,6,609,1,1,,0,,,,,,12,12,,0,999999,62#1000021#1000,,,,,,,,10400,,,,1,,1,0,0,0,0,,1#1000020,1000#20000,,,,1,5000,,,1,,-1,0,1,
1001119,,春日抽奖券,1000111,3,0,1,1,,0,,,,,,12,12,,1,999999,62#1000030#100,,,,,,,,1100,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000119,,秘境挑战券,9000661,3,0,1,1,,0,,,,,2,0,0,,1,999999,54,,,,,,,,1100,,,,1,,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1000120,,大师经验,1000030,1,0,1,1,,0,,,,,,,,,1,-1,,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000130,,荣誉值,,1,0,1,1,,0,,,,,,12,12,,1,-1,,,,,,,,,10111,,,100,0,100,1,0,0,0,0,,,,,,,,,,,,,-1,0,1,
1000140,,远征消耗卷轴,,3,0,1,1,,0,,,,,,12,12,,1,999999,,,,,,,,,10400,1000021#1000,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000160,,后悔药,1000117,3,41,1,1,,0,,,,,,12,12,,1,1,37#100,,,,,,,,10400,,,,1,,1,0,0,0,1#86400000,,,,,,,,,,,1,,-1,0,1,
1000161,,塑魂药水（剑士）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#11,,,86400000,1000151,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000162,,塑魂药水（魔法师）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#12,,,86400000,1000151,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000163,,塑魂药水（弓箭手）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#13,,,86400000,1000151,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000164,,塑魂药水（魔剑士）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#14,,,86400000,1000151,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000261,,测试塑魂药水（剑士）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#11,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000262,,测试塑魂药水（魔法师）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#12,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000263,,测试塑魂药水（弓箭手）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#13,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000264,,测试塑魂药水（魔剑士）,1000117,3,41,1,1,201#0&101#0&301#0&401#0&501#0,0,,300,,,,12,12,,1,1,37#14,,,,,,,,10400,,,,1,,1,0,0,0,0,,,,,,,,,,,1,,-1,0,1,
1000265,,周日寻宝券,9000846,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000266,,灵兽币,9000871,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000267,,周四寻宝券,9000894,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000268,,春节寻宝券,9000846,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000269,,青龙币,9000847,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000270,,【元】字,9000875,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000271,,【宵】字,9000876,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000272,,【阖】字,9000877,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000273,,【家】字,9000878,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000274,,【欢】字,9000879,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000275,,【乐】字,9000880,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000276,,元宵集字活动boss随机包,9000847,5,0,1,1,,0,,0,,,7,7,7,,1,9999,3#2203001,,1,,,,,,260000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000277,,元宵集字野外boss随机包,9000847,5,0,1,1,,0,,0,,,7,7,7,,1,9999,3#2203002,,1,,,,,,260000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000278,,元宵集字精英怪随机包,9000847,5,0,1,1,,0,,0,,,7,7,7,,1,9999,3#2203003,,1,,,,,,260000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000279,,星曜石,9000705,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000280,,月曜石,9000706,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000281,,日曜石,9000707,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000282,,神龙寻宝券,9000872,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000283,,神兵塔挑战令,9001172,3,0,1,1,,0,,,,,2,0,0,,1,999999,54#1371005#1,,,,,,,,1100,,,,1,,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1000284,,藤球,9000960,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000285,,青团,9000961,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000286,,柳叶,9000962,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000287,,柳条,9000963,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000288,,纸鸢,9000964,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,1000010#10000,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000289,,清明集字活动boss随机包,9000847,5,0,1,1,,0,,0,,,7,7,7,,1,9999,3#2203001,,1,,,,,,260000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000290,,清明集字野外boss随机包,9000847,5,0,1,1,,0,,0,,,7,7,7,,1,9999,3#2203002,,1,,,,,,260000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000291,,清明集字精英怪随机包,9000847,5,0,1,1,,0,,0,,,7,7,7,,1,9999,3#2203003,,1,,,,,,260000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1000292,,节日礼券,9001074,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000293,,合服聚宝券,9001093,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000294,,聚宝币,9001094,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000295,,狩猎券,9001102,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,1000010#10000,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000296,,锻体寻宝券,9001147,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1100,,,,0,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000297,,锻体石,9001148,3,0,1,1,,0,,,,,5,5,5,,1,999999,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1000298,,神兵令,9001173,1,101,1,1,,0,,,,,,,,,0,-1,,,,,,,,,1000,,,,1,,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
